Level,Accuracy,Precision,Recall,F1-Score
Kingdom,1.0,1.0,1.0,1.0
Phylum,0.9033333333333333,0.8929881815739994,0.9033333333333333,0.8909167934017642
Class,0.8233333333333334,0.7919514306356412,0.8233333333333334,0.7991539064865013
Order,0.5866666666666667,0.5453326834856685,0.5866666666666667,0.5572209225856675
Family,0.37666666666666665,0.35410227272727274,0.37666666666666665,0.35223280423280423
Genus,0.25666666666666665,0.24799999999999997,0.25666666666666665,0.2452222222222222
Species,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16577777777777777
