Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence
Kingdom,1.0,1.0,1.0,1.0,1.0
Phylum,0.9496666666666667,0.9490177504959577,0.9496666666666667,0.9473409975181074,0.9568
Class,0.8983333333333333,0.8941971917881346,0.8983333333333333,0.892463497612407,0.9177333333333333
Order,0.795,0.7927639456559925,0.795,0.786351354618218,0.8190666666666666
Family,0.6806666666666666,0.6859754864261185,0.6806666666666666,0.6687075835415276,0.7076
Genus,0.613,0.6128109788359789,0.613,0.6000306922549317,0.6380666666666667
Species,0.5033333333333333,0.4999580687830688,0.5033333333333333,0.49629056390232856,0.5534000000000001
