Level,Accuracy,Precision,Recall,F1-Score
Kingdom,1.0,1.0,1.0,1.0
Phylum,0.9506666666666667,0.9500625071042165,0.9506666666666667,0.9487474576060596
Class,0.9003333333333333,0.8956175768255271,0.9003333333333333,0.8948450994741874
Order,0.7866666666666666,0.786388752950193,0.7866666666666666,0.7790481643019191
Family,0.677,0.6834742870027121,0.677,0.6652405454481709
Genus,0.6103333333333333,0.6134610604794815,0.6103333333333333,0.5987342589239647
Species,0.5043333333333333,0.5014799422799423,0.5043333333333333,0.4977825265778826
