Level,Accuracy,Precision,Recall,F1-Score
Kingdom,1.0,1.0,1.0,1.0
Phylum,0.8666666666666667,0.7947368421052633,0.8666666666666667,0.8232277526395173
Class,0.8333333333333334,0.77,0.8333333333333334,0.7912698412698413
Order,0.6333333333333333,0.6,0.6333333333333333,0.6022222222222222
Family,0.5666666666666667,0.5166666666666667,0.5666666666666667,0.5333333333333333
Genus,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667
Species,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335
