Phylum,Class,Order,Family,Genus,Species,x,y,z
Haptophyta,Isochrysidales,Isochrysidales,Isochrysidaceae,Chrysotila,Chrysotila roscoffensis,15.804624,4.314255,1.8343793
Haptophyta,Isochrysidales,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica,7.147326,-0.9176965,3.1951098
Haptophyta,Isochrysidales,Isochrysidales,Isochrysidaceae,Isochrysis,Isochrysis galbana,11.803521,4.5322294,4.3004036
Haptophyta,Phaeocystales,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,8.718998,1.8403519,9.173462
Dinophyceae,Dinophyceae,Gonyaulacales,Crypthecodiniaceae,Crypthecodinium,Crypthecodinium cohnii,17.119484,3.7627516,1.5270592
Euglenozoa,Euglenida,Euglenales,Euglenaceae,Euglena,Euglena gracilis,17.147343,3.7792926,1.5664294
Euglenozoa,Euglenida,Eutreptiales,Eutreptiella,Eutreptiella,Eutreptiella gymnastica,14.794061,1.8865272,4.82159
Dinophyceae,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum micans,13.3119545,12.234587,5.591839
Dinophyceae,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,Scrippsiella trochoidea,10.732091,0.9399481,10.44927
Apicomplexa,Conoidasida,Eucoccidiorida,Sarcocystidae,Toxoplasma,Toxoplasma gondii,14.29466,3.8727202,4.2600756
Xanthophyceae,Xanthophyceae,Botrydiales,Botrydiaceae,Botrydium,Botrydium granulatum,8.709207,1.8894774,9.237541
Eustigmatophyceae,Eustigmatophyceae,Eustigmatales,Chlorobotryaceae,Vischeria,Vischeria magna,6.08599,8.707224,9.548552
Xanthophyceae,Xanthophyceae,Mischococcales,Mischococcaceae,Mischococcus,Mischococcus sphaerocephalus,10.050251,9.643963,9.106321
Xanthophyceae,Xanthophyceae,Mischococcales,Ophiocytiaceae,Ophiocytium,Ophiocytium majus,6.4931583,8.927382,9.354087
Xanthophyceae,Xanthophyceae,Tribonematales,Tribonemataceae,Tribonema,Tribonema aequale,8.210781,7.942061,8.175402
Xanthophyceae,Xanthophyceae,Vaucheriales,Vaucheriaceae,Vaucheria,Vaucheria sessilis,11.50613,5.2908607,4.2070136
Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys olivaceus,15.105624,4.2998357,3.8016927
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna boisduvali,7.83028,8.927148,8.463728
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pusillanima,6.981441,9.280867,9.145095
Arthropoda,Insecta,Coleoptera,Coccinellidae,Epilachna,Epilachna admirabilis,7.04355,9.20426,9.222499
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctopunctata,7.01511,9.25854,9.381275
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1154194,9.178641,9.256287
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.0608964,9.224783,9.3329315
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.0571494,9.212655,9.3491125
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna niponica,7.069663,9.222566,9.340936
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.056432,9.234021,9.362461
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1425123,8.789832,9.728278
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1498704,8.791223,9.753962
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1449785,8.810917,9.711628
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.103121,8.829947,9.746228
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.119294,8.799321,9.725803
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.148286,8.785309,9.744446
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.140378,8.797109,9.732884
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1650896,8.851855,9.652823
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2627907,8.628835,9.964471
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2366376,8.655414,9.926873
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna niponica,7.2572575,8.629202,9.963467
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2514863,8.647149,9.947872
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2404323,8.644003,9.961629
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.219375,8.662686,9.926472
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2866225,8.603736,9.944773
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2596717,8.611062,9.994822
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.209999,8.669115,9.9168415
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2211947,8.6644125,9.927587
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.222548,8.654613,9.951345
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2318897,8.613035,9.997348
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.22901,8.65928,9.931403
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2236905,8.66402,9.929303
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.275889,8.645948,9.960237
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2375116,8.613686,10.009001
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna niponica,7.265277,8.628043,9.969662
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.263774,8.638533,9.941706
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna niponica,7.25426,8.640022,9.959037
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.2557616,8.616449,9.99765
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.168068,8.703142,9.920245
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.252403,8.639018,9.954622
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.280119,8.6842375,9.806205
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.259442,8.63093,9.969537
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.229094,8.656301,9.952579
Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius langsdorfii,12.769592,10.494021,3.7608185
Chordata,Lepidosauria,Squamata,Colubridae,Lycodon,Lycodon semicarinatus,12.482757,10.142871,4.137256
Chlorophyta,Trebouxiophyceae,Elliptochloris,Elliptochloris,Elliptochloris,Elliptochloris subsphaerica,16.487988,6.003254,4.9566717
Cercozoa,Imbricatea,Euglyphida,Euglyphidae,Euglypha,Euglypha rotunda,12.234617,4.4737887,0.07655914
Haptophyta,Pavlovophyceae,Pavlovales,Pavlovaceae,Diacronema,Diacronema vlkianum,14.381472,4.373724,4.1297517
Mollusca,Gastropoda,Provannidae,Provannidae,Ifremeria,Ifremeria nautilei,7.949138,2.3776078,10.096812
Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,Formica fusca,7.0364404,9.404715,9.685149
Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,Formica cunicularia,7.0461574,9.356294,9.69792
Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,Formica exsecta,7.020136,9.303235,9.722568
Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,Formica yessensis,7.1212955,9.637328,9.669857
Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,Formica truncorum,7.1171327,9.634952,9.678071
Arthropoda,Insecta,Hymenoptera,Formicidae,Polyergus,Polyergus samurai,7.1093864,9.678776,9.701589
Arthropoda,Insecta,Hymenoptera,Formicidae,Polyergus,Polyergus rufescens,8.155527,2.7291484,12.23491
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis,Cataglyphis velox,5.844331,8.708149,9.821162
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis,Cataglyphis rosenhaueri,6.663255,8.027442,11.365422
Arthropoda,Insecta,Hymenoptera,Formicidae,Proformica,Proformica longiseta,6.344707,8.652084,10.791876
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis,Cataglyphis floricola,6.43437,9.03069,10.540035
Arthropoda,Insecta,Hymenoptera,Formicidae,Rossomyrmex,Rossomyrmex minuchae,7.7758813,8.969836,8.699459
Arthropoda,Insecta,Hymenoptera,Formicidae,Plagiolepis,Plagiolepis pygmaea,6.3630414,9.121469,10.789949
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis,Cataglyphis iberica,10.005694,3.4682863,6.0515
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis,Cataglyphis niger,11.105203,2.8293614,6.7181735
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis,Cataglyphis hispanica,11.032538,2.9732466,6.3911433
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis,Cataglyphis humeya,10.691413,3.984205,5.8279114
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Japonica,Japonica adusta,15.752995,3.8945189,3.4471586
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Japonica,Japonica lutea,14.371774,3.4302378,4.230998
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Japonica,Japonica lutea,15.766256,3.872906,3.4866674
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Japonica,Japonica lutea,15.775255,3.8639345,3.5041652
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Japonica,Japonica lutea,15.2884035,3.8305705,4.328823
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Japonica,Japonica onoi,11.327135,2.6050446,7.3093824
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Japonica,Japonica patungkoanui,15.781436,3.8529017,3.523465
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Wagimo,Wagimo signatus,15.708824,3.923459,3.47335
Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella vulgaris,8.3533945,8.905884,6.2546496
Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus quadricauda,14.568272,3.9776998,3.811948
Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus quadricauda,13.588968,5.6469316,4.6823587
Chlorophyta,Chlorophyceae,Chlamydomonadales,Protosiphonaceae,Protosiphon,Protosiphon botryoides,12.224573,4.531747,0.08426866
Chlorophyta,Chlorophyceae,Chlamydomonadales,Protosiphonaceae,Protosiphon,Protosiphon botryoides,15.183725,4.233395,3.2994077
Dicyemida,Rhombozoa,Dicyemidae,Dicyemidae,Dicyema,Dicyema misakiense,7.8389225,9.254912,7.82075
Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Sparganum,Sparganum proliferum,15.557261,4.818026,1.8793495
Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Spirometra,Spirometra erinaceieuropaei,15.749354,4.410786,1.6909437
Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea,Antheraea pernyi,9.65994,3.8132062,6.2046304
Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea,Antheraea yamamai,9.514529,3.9110703,6.4265723
Arthropoda,Insecta,Lepidoptera,Saturniidae,Samia,Samia pryeri,9.890649,3.8852782,5.764592
Arthropoda,Insecta,Lepidoptera,Saturniidae,Samia,Samia ricini,9.794103,3.8369513,5.9735684
Arthropoda,Insecta,Lepidoptera,Saturniidae,Rhodinia,Rhodinia fugax,9.651166,3.8910651,6.097397
Arthropoda,Insecta,Lepidoptera,Saturniidae,Hyalophora,Hyalophora cecropia,9.894594,3.806613,5.792726
Arthropoda,Insecta,Lepidoptera,Saturniidae,Saturnia,Saturnia japonica,9.6874275,3.9122512,6.003067
Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,Mustelus manazo,10.692039,-1.8980552,7.00823
Chordata,Actinopteri,Stomiiformes,Gonostomatidae,Sigmops,Sigmops gracilis,12.682251,10.261458,4.227255
Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombyx,Bombyx mori,9.853468,3.5744207,6.6672297
Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombyx,Bombyx mandarina,9.753259,3.6313703,6.7351236
Arthropoda,Insecta,Lepidoptera,Sphingidae,Agrius,Agrius convolvuli,9.813765,3.644308,6.6799784
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila alpina,9.552344,2.5682154,8.009336
Chordata,Mammalia,Primates,Atelidae,Ateles,Ateles geoffroyi,13.100018,10.864838,4.694805
Chordata,Mammalia,Primates,Cercopithecidae,Colobus,Colobus polykomos,11.3981,4.7996416,1.6781359
Chordata,Mammalia,Primates,Lemuridae,Hapalemur,Hapalemur griseus,13.218961,11.137075,4.837698
Chordata,Mammalia,Primates,Galagidae,Galago,Galago senegalensis,13.264405,10.907732,4.8259478
Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Flammulina velutipes,10.207356,4.8542213,4.998593
Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Flammulina velutipes,15.779521,3.863605,3.4960701
Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,Coryphaenoides yaquinae,14.943223,4.8318396,3.9452808
Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,Coryphaenoides nasutus,14.895539,4.7616105,3.9611259
Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,Coryphaenoides longifilis,14.941956,4.8661027,3.9362283
Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,Coryphaenoides cinereus,14.944203,4.7900996,3.9289477
Chordata,Actinopteri,Gadiformes,Macrouridae,Albatrossia,Albatrossia pectoralis,14.946913,4.7901635,3.926025
Chordata,Actinopteri,Gadiformes,Macrouridae,Coelorinchus,Coelorinchus gilberti,14.995832,4.838709,3.9515402
Chordata,Actinopteri,Gadiformes,Macrouridae,Coelorinchus,Coelorinchus macrochir,15.0051565,4.849888,4.0024385
Arthropoda,Insecta,Blattodea,Termopsidae,Hodotermopsis,Hodotermopsis japonica,15.78552,3.8444526,3.5287325
Arthropoda,Insecta,Blattodea,Termopsidae,Hodotermopsis,Hodotermopsis japonica,15.784807,3.851437,3.5191422
Arthropoda,Insecta,Blattodea,Termopsidae,Hodotermopsis,Hodotermopsis yui,15.781169,3.8449757,3.5206242
Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus kiusiuensis,7.3611765,0.5280947,9.655819
Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus vagus,7.3318443,0.39583498,9.607851
Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus vitiosus,7.377324,0.45413437,9.612881
Arthropoda,Insecta,Hymenoptera,Formicidae,Colobopsis,Colobopsis nipponica,7.404171,0.40043363,9.601249
Arthropoda,Insecta,Hymenoptera,Formicidae,Colobopsis,Colobopsis shohki,7.3694267,0.41009393,9.599221
Arthropoda,Insecta,Hymenoptera,Formicidae,Polyrhachis,Polyrhachis dives,7.4953074,8.856039,8.44526
Arthropoda,Insecta,Hymenoptera,Formicidae,Polyrhachis,Polyrhachis hippomanes,7.079026,9.346991,9.64892
Arthropoda,Insecta,Hymenoptera,Formicidae,Plagiolepis,Plagiolepis manczshurica,7.0564866,9.364616,9.631272
Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,Formica lemani,7.059413,9.424425,9.685357
Arthropoda,Insecta,Hymenoptera,Formicidae,Oecophylla,Oecophylla smaragdina,6.37583,9.11574,10.781791
Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium,8.362997,1.6081334,9.596685
Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,7.634788,6.36603,7.6422462
Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Grammonema,Grammonema striatula,14.415372,4.3665476,4.11661
Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia frustulum,8.683313,1.8318493,9.228075
Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Sundstroemia,Sundstroemia setigera,9.947751,9.404046,8.917962
Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum,8.709019,1.8529884,9.197882
Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii,12.78022,11.276799,2.7600045
Arthropoda,Insecta,Hemiptera,Anthocoridae,Orius,Orius strigicollis,11.381024,5.3528767,5.918675
Arthropoda,Insecta,Hemiptera,Anthocoridae,Orius,Orius sauteri,11.401516,5.352235,5.9465184
Arthropoda,Insecta,Hemiptera,Anthocoridae,Orius,Orius tantillus,11.175254,5.2934346,5.679757
Arthropoda,Insecta,Hemiptera,Anthocoridae,Amphiareus,Amphiareus obscuriceps,11.397981,5.3378263,5.9918914
Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Halocynthia,Halocynthia roretzi,16.296846,4.402397,0.6148783
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.868747,5.812725,1.1934606
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.824755,5.839561,1.1668657
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.84949,5.8407083,1.1661388
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.959465,5.748589,1.502497
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.87131,5.8216257,1.177232
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.830241,5.823006,1.1958383
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.860395,5.8184667,1.1633015
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.869429,5.8454986,1.1436322
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.860808,5.816319,1.1462954
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.865859,5.829772,1.1533586
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.88416,5.7559137,1.3061535
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.833079,5.819103,1.2008773
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.878902,5.828678,1.1746644
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.882251,5.814487,1.208348
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.885974,5.820902,1.1919814
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.833118,5.7899413,1.2241998
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.846851,5.6812205,1.166111
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.893276,5.779135,1.177288
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.862841,5.8349237,1.1763334
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.888078,5.7981057,1.2346152
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.868396,5.8345575,1.1659409
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.900965,5.8346543,1.1626791
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.827609,5.7825437,1.2486861
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.857575,5.79747,1.2382263
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.887584,5.8141556,1.1919322
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.791659,5.6021523,1.505328
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.569294,5.623778,1.5295478
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.59456,5.5719967,1.541032
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.726662,5.6529837,1.4990714
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.603168,5.635321,1.5110841
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.644142,5.663457,1.4541737
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.578474,5.6216917,1.5472897
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.864702,5.7264314,1.4992795
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.927365,5.686269,1.584527
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.727266,5.6492243,1.4728556
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.790311,5.6486835,1.4886696
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.756486,5.631457,1.4995086
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.766977,5.630919,1.5003734
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.791463,5.644893,1.4886687
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.811777,5.6476374,1.4915612
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.799554,5.59136,1.5135777
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.708668,5.6557093,1.4949467
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.795248,5.6378264,1.5240165
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.620471,5.630642,1.4858114
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.82708,5.6390805,1.5223976
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.7963915,5.674221,1.481164
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.610296,5.6232185,1.5268651
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.832521,5.6392503,1.54641
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.669787,5.674201,1.4472429
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.788327,5.6496553,1.4946004
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,13.030543,5.56592,1.6347573
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.852327,5.6210904,1.5141618
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.642445,5.6270943,1.5145282
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.91859,5.739081,1.3388176
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.943327,5.7162714,1.4206778
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.786781,5.8426166,1.1877117
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.751894,5.822337,1.2573385
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.753005,5.842661,1.2209365
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.748077,5.8271422,1.2679445
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.792684,5.8426075,1.1898879
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.740842,5.823712,1.2797043
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.74198,5.841794,1.2817242
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.724538,5.80755,1.2951604
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.905344,5.767085,1.2370266
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.677988,5.5195894,1.5795771
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.784738,5.6015944,1.6400467
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.731024,5.546057,1.5787176
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.708521,5.498366,1.5535774
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.7040825,5.504063,1.5742096
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.918176,5.158711,1.6302109
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,13.053776,5.2403927,1.7688028
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.78263,5.086024,1.5506994
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,12.794082,5.0928555,1.5225823
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Euhadra,Euhadra peliomphala,13.547916,4.954339,2.2857618
