Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence
Kingdom,1.0,1.0,1.0,1.0,1.0
Phylum,0.942,0.9410534508521444,0.942,0.9380630314144449,0.9433333333333334
Class,0.88,0.8749274839397454,0.88,0.8707958946078002,0.8919333333333334
Order,0.7613333333333333,0.7596467847339627,0.7613333333333333,0.7491346789444123,0.7606333333333334
Family,0.6333333333333333,0.6311843053057655,0.6333333333333333,0.6148377307772416,0.6249333333333333
Genus,0.567,0.5561096224013744,0.567,0.5474571135288929,0.5465
Species,0.46266666666666667,0.44808134643134645,0.46266666666666667,0.44949683093886217,0.4573333333333333
