Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence
Kingdom,1.0,1.0,1.0,1.0,1.0
Phylum,0.9696666666666667,0.9690026879985618,0.9696666666666667,0.9679832849480438,0.9686333333333333
Class,0.938,0.9344100369353734,0.938,0.9338789770977063,0.9339000000000001
Order,0.873,0.8722976696735584,0.873,0.8660415881523796,0.8470333333333333
Family,0.787,0.7839969382049531,0.787,0.772061811470327,0.7342666666666666
Genus,0.7273333333333334,0.7134730835928205,0.7273333333333334,0.709176625644737,0.6684666666666667
Species,0.623,0.6119410774410774,0.623,0.6133815388143562,0.5761666666666667
