Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence
Kingdom,1.0,1.0,1.0,1.0,1.0
Phylum,0.9756666666666667,0.9754940198523876,0.9756666666666667,0.9749850082108887,0.983888888888889
Class,0.9543333333333334,0.9525336700708749,0.9543333333333334,0.9524082343986702,0.9665555555555555
Order,0.894,0.8941963601231995,0.894,0.8894349904076864,0.9174444444444444
Family,0.8273333333333334,0.8329085116200368,0.8273333333333334,0.8196729591508048,0.8526666666666667
Genus,0.7823333333333333,0.7821899873718761,0.7823333333333333,0.7736905497332153,0.8093333333333333
Species,0.6826666666666666,0.6777828282828282,0.6826666666666666,0.6769684873949581,0.7405555555555556
