Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence
Kingdom,1.0,1.0,1.0,1.0,1.0
Phylum,0.9513333333333334,0.9499469724553667,0.9513333333333334,0.9495297305002026,0.9671111111111111
Class,0.901,0.8976178516069393,0.901,0.897404116028894,0.9374444444444443
Order,0.806,0.8090656403653959,0.806,0.801747632254038,0.8572222222222222
Family,0.6966666666666667,0.7135921986556447,0.6966666666666667,0.690768423175038,0.767111111111111
Genus,0.639,0.6466562293657495,0.639,0.6305835680283955,0.7137777777777778
Species,0.527,0.5270348484848485,0.527,0.5221244107744109,0.6424444444444444
