Level,Accuracy,Precision,Recall,F1-Score
Kingdom,1.0,1.0,1.0,1.0
Phylum,0.98,0.9803162407561518,0.98,0.9796366819624235
Class,0.9576666666666667,0.9565402718502719,0.9576666666666667,0.9562199737099298
Order,0.9013333333333333,0.9019806655270188,0.9013333333333333,0.8979927941621254
Family,0.8333333333333334,0.8395759433372575,0.8333333333333334,0.826421790798989
Genus,0.7853333333333333,0.7863080270119744,0.7853333333333333,0.777145282921266
Species,0.6846666666666666,0.683875,0.6846666666666666,0.681575468975469
