Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence,Avg Entropy,Avg Distance
Kingdom,0.9996596113380369,1.0,0.9996596113380369,0.9998297766979773,0.9996596113380369,0.0,inf
Phylum,0.9819172039743893,0.9820148072368197,0.9819172039743893,0.9818644119309793,0.9996596113380369,0.10333481342636697,inf
Class,0.9638962967964082,0.9637295341510032,0.9638962967964082,0.9635342388788839,0.9996596113380369,0.2175528899962382,inf
Order,0.9206641235976549,0.920639156548901,0.9206641235976549,0.9198009484929492,0.9996596113380369,0.5162195224305208,inf
Family,0.8665395132160821,0.8670605282846416,0.8665395132160821,0.8643704625111663,0.9996596113380369,0.9175534542299224,inf
Genus,0.8219711035344158,0.8166464929832333,0.8219711035344158,0.8114069226696476,0.9996596113380369,1.1745615003501868,inf
Species,0.7271405101891548,0.7138708976198372,0.7271405101891548,0.7071812777792001,0.9996596113380369,1.5101162939245951,inf
