Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence,Avg Entropy,Avg Distance
Kingdom,1.0,1.0,1.0,1.0,1.0,0.0,0.9702469818612796
Phylum,0.990746385169657,0.9906983981333145,0.990746385169657,0.9906902565480542,1.0,0.07157314735946448,0.9702469818612796
Class,0.9813524311570527,0.981194739783755,0.9813524311570527,0.9811720721609047,1.0,0.15251443286810634,0.9702469818612796
Order,0.9613760256820704,0.9613529274735204,0.9613760256820704,0.9611026850375167,1.0,0.3394301353432694,0.9702469818612796
Family,0.9413689210109684,0.9420356665304779,0.9413689210109684,0.9409360350423346,1.0,0.5524467946702644,0.9702469818612796
Genus,0.9256904029927331,0.9296930156725777,0.9256904029927331,0.9246570616729233,1.0,0.6841348660225693,0.9702469818612796
Species,0.8835404067204926,0.8959149091422314,0.8835404067204926,0.8817079607443093,1.0,0.8779084549436093,0.9702469818612796
