Level,Accuracy,Precision,Recall,F1-Score
Kingdom,1.0,1.0,1.0,1.0
Phylum,0.9,0.8184210526315788,0.9,0.8552123552123553
Class,0.8,0.7625,0.8,0.7711111111111111
Order,0.6,0.5373015873015874,0.6,0.5529292929292928
Family,0.5,0.4666666666666667,0.5,0.47777777777777775
Genus,0.5,0.5,0.5,0.5
Species,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664
