Level,Accuracy,Precision,Recall,F1-Score
Kingdom,1.0,1.0,1.0,1.0
Phylum,0.959,0.9591298636321003,0.959,0.9582455339725757
Class,0.9136666666666666,0.912555153473908,0.9136666666666666,0.9116076933158902
Order,0.8186666666666667,0.820511238119486,0.8186666666666667,0.8148103695118732
Family,0.7086666666666667,0.7283723564974862,0.7086666666666667,0.7048940755224463
Genus,0.6433333333333333,0.6566889217221261,0.6433333333333333,0.6380516593987401
Species,0.5403333333333333,0.5448340067340067,0.5403333333333333,0.5374620879120878
