Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence
Kingdom,1.0,1.0,1.0,1.0,1.0
Phylum,0.9723333333333334,0.9716300663723954,0.9723333333333334,0.9707656968952628,0.9766666666666667
Class,0.9476666666666667,0.9452960092465037,0.9476666666666667,0.9447864473030608,0.9526666666666667
Order,0.8903333333333333,0.8888532721379097,0.8903333333333333,0.8847811917411312,0.8886000000000001
Family,0.8076666666666666,0.8060724388770544,0.8076666666666666,0.7953360240582982,0.8032666666666667
Genus,0.7613333333333333,0.7512010408377112,0.7613333333333333,0.7472490391699851,0.7498
Species,0.6563333333333333,0.6519138888888889,0.6563333333333333,0.6504590668590668,0.6666000000000001
