Level,Accuracy,Precision,Recall,F1-Score,Avg Confidence,Avg Entropy,Avg Distance
Kingdom,1.0,1.0,1.0,1.0,1.0,0.0,0.9268949771707555
Phylum,0.9375161819280228,0.9349127723826048,0.9375161819280228,0.9353754439489435,1.0,0.26925232081962913,0.9268949771707555
Class,0.8789552554979326,0.8722090292420034,0.8789552554979326,0.8733364298900071,1.0,0.5261507220658934,0.9268949771707555
Order,0.7273119561891461,0.7241125682270719,0.7273119561891461,0.719763734803485,1.0,1.3033224347461572,0.9268949771707555
Family,0.5509152106200522,0.5613799232278579,0.5509152106200522,0.5450942076900881,1.0,2.3396014992140213,0.9268949771707555
Genus,0.4365079987760578,0.45012171952948377,0.4365079987760578,0.41897552308991215,1.0,2.850774765705601,0.9268949771707555
Species,0.2903096730662106,0.265636338528685,0.2903096730662106,0.25665572905293493,1.0,3.14677390522402,0.9268949771707555
