Level,Accuracy,Precision,Recall,F1-Score
Kingdom,1.0,1.0,1.0,1.0
Phylum,0.974670582542844,0.9743413260216481,0.974670582542844,0.9744058215657346
Class,0.9497968920545972,0.9491225444810496,0.9497968920545972,0.9491428424791922
Order,0.8919842689801843,0.8916357740183736,0.8919842689801843,0.8907316654227765
Family,0.8229753907436789,0.823901244720646,0.8229753907436789,0.8204752262220719
Genus,0.7722040306518584,0.7691634040615163,0.7722040306518584,0.7614651880180829
Species,0.6720988196108879,0.6631587696989322,0.6720988196108879,0.6523211527507696
